"umlsid"	"parent_id"
"C0042138"	"meddra:10046803"
"C0042138"	"meddra:10046805"
"C0042138"	"meddra:10016414"
"C0042138"	"meddra:10038594"
"C0042138"	"meddra:10046828"
"C0042138"	"meddra:10038604"
"C0042138"	"meddra:10029104"
"C0042138"	"meddra:10029102"
"C0042138"	"meddra:10046804"
"C0242379"	"meddra:10006880"
"C0242379"	"meddra:10058467"
"C0242379"	"meddra:10038723"
"C0242379"	"meddra:10024973"
"C0242379"	"meddra:10029107"
"C0242379"	"meddra:10038666"
"C0242379"	"meddra:10029104"
"C0242379"	"meddra:10038738"
"C0242379"	"meddra:10025056"
"C0242379"	"meddra:10007096"
"C0242379"	"meddra:10025044"
"C2267227"	"meddra:10006550"
"C2267227"	"meddra:10002650"
"C2267227"	"meddra:10014068"
"C2267227"	"meddra:10014067"
"C2267227"	"meddra:10003018"
"C2267227"	"meddra:10027433"
"C2267227"	"meddra:10037175"
"C0007137"	"meddra:10041823"
"C0007137"	"meddra:10029105"
"C0007137"	"meddra:10027655"
"C0007137"	"meddra:10029104"
"C0007137"	"meddra:10007349"
"C0007137"	"meddra:10014987"
"C0007137"	"meddra:10007473"
"C0036341"	"meddra:10039626"
"C0036341"	"meddra:10039631"
"C0036341"	"meddra:10039628"
"C0036341"	"meddra:10037175"
"C0036341"	"meddra:10012297"
"C0036341"	"meddra:10039632"
"C0036341"	"meddra:10039642"
"C0036341"	"meddra:10046150"
"C0036341"	"meddra:10046156"
"C0040147"	"ndfrt:N0000002944"
"C0040147"	"ndfrt:N0000002942"
"C0040147"	"ndfrt:N0000001099"
"C0040147"	"ndfrt:N0000000004"
"C0042138"	"ndfrt:N0000003093"
"C0042138"	"ndfrt:N0000001325"
"C0042138"	"ndfrt:N0000003084"
"C0042138"	"ndfrt:N0000002130"
"C0042138"	"ndfrt:N0000002128"
"C0042138"	"ndfrt:N0000000004"
"C2267227"	"ndfrt:N0000171706"
"C2267227"	"ndfrt:N0000000457"
"C2267227"	"ndfrt:N0000000538"
"C2267227"	"ndfrt:N0000000006"
"C2267227"	"ndfrt:N0000000004"
"C0007137"	"ndfrt:N0000000680"
"C0007137"	"ndfrt:N0000000664"
"C0007137"	"ndfrt:N0000002134"
"C0007137"	"ndfrt:N0000002129"
"C0007137"	"ndfrt:N0000002128"
"C0007137"	"ndfrt:N0000000004"
"C0036341"	"ndfrt:N0000002690"
"C0036341"	"ndfrt:N0000003978"
"C0036341"	"ndfrt:N0000000538"
"C0036341"	"ndfrt:N0000000006"
"C0036341"	"ndfrt:N0000000004"
"C0596170"	"meddra:10004716"
"C0596170"	"meddra:10014068"
"C0596170"	"meddra:10014067"
"C0596170"	"meddra:10037175"
"C0019357"	"meddra:10019958"
"C0019357"	"meddra:10030045"
"C0019357"	"meddra:10019972"
"C0019357"	"meddra:10047438"
"C0019357"	"meddra:10021877"
"C0019357"	"meddra:10015919"
"C0019357"	"meddra:10021881"
"C0019357"	"meddra:10023334"
"C0019357"	"meddra:10011021"
"C0019357"	"meddra:10062004"
"C0019357"	"meddra:10011019"
"C0019357"	"meddra:10019945"
"C0019357"	"meddra:10019947"
"C0019357"	"meddra:10019955"
"C0019357"	"meddra:10019998"
"C0040247"	"meddra:10043870"
"C0040247"	"meddra:10017528"
"C0040247"	"meddra:10021881"
"C0040247"	"meddra:10060889"
"C0040247"	"meddra:10040791"
"C0040247"	"meddra:10040792"
"C0040247"	"meddra:10040785"
"C0040247"	"meddra:10039184"
"C0040247"	"meddra:10043872"
"C0040247"	"meddra:10043869"
"C0040247"	"meddra:10043864"
"C0040262"	"meddra:10056131"
"C0040262"	"meddra:10043870"
"C0040262"	"meddra:10040791"
